GAS7,18,19,19,19,19,19,17,19,19,17,19,17,19,19,19,19,19,18,18,17,19,19,18,19,19,17,17,19,17,19
CPVL,5,5,6,5,7,6,5,6,7,5,6,5,6,6,6,7,6,5,5,6,5,6,6,6,7,5,6,5,5,7
NAMPT,21,24,26,24,25,26,21,24,25,20,24,20,26,24,24,24,26,21,21,21,22,24,22,24,25,21,20,23,20,25
XYLT1,12,-1,21,-1,21,21,12,21,21,12,21,12,21,-1,21,21,21,12,12,13,12,21,12,21,21,12,12,-1,12,21
MSR1,10,10,11,10,11,11,10,11,11,10,11,10,11,10,11,11,11,10,10,10,10,11,10,11,11,10,10,10,10,11
FGD2,1,1,3,1,3,3,1,3,3,1,3,1,3,1,3,3,3,1,1,1,1,3,1,3,3,1,1,1,1,3
CHST15,12,12,3,13,3,3,12,3,3,12,3,12,3,12,3,3,3,12,12,13,12,3,12,3,3,12,12,12,12,3
ANKRD44,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
LCK,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
GRIK4,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
PDGFC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100Z,12,12,21,13,21,21,12,21,21,12,21,12,21,12,21,21,21,12,12,13,12,21,12,21,21,12,12,12,12,21
CELF2,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
LYST,12,-1,21,-1,21,21,12,21,21,12,21,12,21,-1,21,21,21,12,12,13,12,21,12,21,21,12,12,-1,12,21
RCN3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QKI,5,5,6,5,7,6,5,6,7,5,6,5,6,6,6,7,6,5,5,6,5,6,6,6,7,5,6,5,5,7
LRP1,1,5,3,5,3,3,1,3,3,1,3,1,3,6,3,3,3,1,1,1,1,3,1,3,3,1,1,5,1,3
GAB2,5,5,6,5,7,6,5,6,7,5,6,5,6,6,6,7,6,5,5,6,5,6,6,6,7,5,6,5,5,7
NCKAP5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FTL,15,16,17,16,17,17,15,17,17,15,17,15,17,16,17,17,16,15,15,15,15,17,15,17,17,15,15,16,15,17
MS4A6A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KLRK1,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
TRPV4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZBTB16,7,7,8,7,-1,8,7,8,6,7,8,7,8,-1,8,6,8,7,7,-1,7,8,-1,8,-1,7,5,7,7,-1
FCGRT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LRRK2,17,18,20,18,20,20,16,20,20,16,20,16,20,18,20,20,20,17,17,16,17,20,17,20,20,16,16,18,16,20
SLC38A1,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
RAB31,5,5,6,5,7,6,5,6,7,5,6,5,6,6,6,7,6,5,5,6,5,6,6,6,7,5,6,5,5,7
PDE3B,23,26,27,26,26,27,23,26,27,22,26,21,27,25,26,26,27,22,23,22,25,26,23,26,26,23,22,25,22,26
NDST3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLA-C,6,6,7,6,8,7,6,7,8,6,7,6,7,7,7,8,7,6,6,7,6,7,7,7,8,6,7,6,6,8
RABGAP1L,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
